District_Name,Year,Kharif,Rabi,Autumn,Summer,Whole Year,Winter
Kodagu,2002,24.515,24.752,24.86175,24.31425,27.331041666666668,25.18275
Kodagu,2003,24.944333333333333,24.8085,25.12,24.81675,27.559086805555552,24.8835
Kodagu,2004,24.49866666666667,24.5145,24.54775,24.413500000000003,27.499257233796296,25.17875
Kodagu,2005,24.38633333333333,24.53875,24.575,23.99075,27.17302143614969,24.7245
Kodagu,2006,24.41733333333333,24.433,24.547,24.1865,27.15333511967914,24.818
Kodagu,2007,24.35233333333333,24.2995,24.364,24.18025,27.29586125997326,24.9905
Kodagu,2008,24.24466666666667,23.9465,24.23175,24.2845,27.10832177166444,24.3835
Kodagu,2009,24.413666666666668,24.2725,24.40375,24.20225,27.174526814305366,24.60025
Kodagu,2010,24.39166666666667,24.20075,24.34025,24.1295,27.14779390119212,24.80375
Kodagu,2011,24.712666666666667,24.52075,24.688,24.756,27.447232825099345,24.83625
Kodagu,2012,24.296,24.2825,24.30675,24.404,27.406352735424942,24.93925
Kodagu,2013,24.81733333333333,25.02575,25.26925,24.6955,27.574529394618747,25.10525
Kodagu,2014,24.536999999999995,24.71,24.59725,24.58525,27.72271078288489,25.42425
Kodagu,2015,24.720333333333333,24.52575,24.71075,24.25,27.317309231907075,25.125
Kodagu,2016,24.383333333333336,24.58325,24.59375,24.0165,27.19619243599225,24.903749999999995
Kodagu,2017,24.493666666666662,24.66025,24.7385,24.405,27.46701603633269,25.29625
Kodagu,2018,25.03,24.9275,25.1205,24.683,27.71550133636105,25.328
Kohima,2001,23.314,17.70525,20.034,23.23525,20.09775,16.0985
Kohima,2002,22.495666666666665,17.101,19.296,23.5455,21.82047916666667,16.4665
Kohima,2003,22.76233333333333,17.823999999999998,19.95875,23.5105,22.075706597222226,16.318
Kohima,2004,22.867666666666665,18.2655,20.47425,23.458,22.330308883101853,16.672250000000002
Kohima,2005,23.167,16.92225,19.57125,23.398,21.940609073591823,15.544249999999998
